species,x,y
Anaphaeis_aurota,66.810992811720993,30.073228556964001
Anaphaeis_aurota,66.932940188269995,24.944696935730999
Anaphaeis_aurota,66.989452387159005,29.801970002299999
Anaphaeis_aurota,67.146496813542996,29.648494767422999
Anaphaeis_aurota,67.303541239927995,29.801970002299999
Anaphaeis_aurota,67.442739708768997,29.966152811701999
Anaphaeis_aurota,67.763966944556003,29.969722003211
Anaphaeis_aurota,67.774674519083007,29.705601831563001
Anaphaeis_aurota,68.228556705944996,25.340877193202001
Anaphaeis_aurota,69.224361136884994,24.266550549070001
Anaphaeis_aurota,70.006014077299994,29.968928849541999
Anaphaeis_aurota,70.886414649456995,33.604229716566003
Anaphaeis_aurota,71.068443416402999,33.475738822251003
Anaphaeis_aurota,71.075581799421002,33.675613546740998
